,Algo,Runtime,Accuracy_Score,Precision_Score,Recall_Score,F1_Score,MCC
0,Logistic Regression,9.21232795715332,0.9989993328885924,0.8253968253968254,0.5306122448979592,0.6459627329192548,0.6613449759956226
1,Naive Bayes,0.4320688247680664,0.9930128857835048,0.14622641509433962,0.6326530612244898,0.2375478927203065,0.3019617859258202
2,Random Forest,39.05269265174866,0.9994557775359011,0.935064935064935,0.7346938775510204,0.822857142857143,0.8285942931646451
3,SVM,1150.9430720806122,0.9984551104244935,0.6041666666666666,0.29591836734693877,0.3972602739726027,0.4221655953416209
